img,title,company,rating,review,location,experience
https://static.ambitionbox.com/alpha/company/photos/logos/pmam-it-services.jpg,PM AM - Machine Learning Engineer - Java/Python/Tensorflow (4-6 yrs),PM AM IT Service,4.1,48,Mumbai,4-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/great-learning.jpg,Great Learning - Senior Data Scientist - Machine Learning (2-6 yrs),Great Learning,3.8,329,Bengaluru/Bangalore,2-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/great-learning.jpg,Great Learning - Senior Data Scientist - R/Python (3-8 yrs),Great Learning,3.8,329,"Gurgaon/Gurugram, Bengaluru/Bangalore",3-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ihcc.jpg,Data scientist,IHCC,4.5,14,Bengaluru/Bangalore,9-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/great-learning.jpg,Great Learning - Senior Data Scientist (3-9 yrs),Great Learning,3.8,329,"Gurgaon/Gurugram, Bengaluru/Bangalore",3-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/bharatpe-543177.jpg,BharatPe - Data Scientist - Tensorflow/Pandas (1-6 yrs),Bharatpe,3.8,292,Delhi NCR,1-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/addrec-solutions.jpg,Data Scientist - Deep Learning/Machine Learning (3-5 yrs),Addrec Solutions,4.1,53,"Chennai, Hyderabad/Secunderabad, Mumbai
													+1 more",3-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/bewakoof-brands-pvt-dot-ltd-dot-470362.jpg,Bewakoof.com - Senior Data Scientist - ETL/Python (2-4 yrs),Bewakoof.com,3.9,126,Bengaluru/Bangalore,2-4 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/chaayos-286471.jpg,Chaayos - Senior Manager/Data Scientist - Data Quality/SQL (6-8 yrs),Chaayos,3.5,413,Delhi NCR,6-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/biz2credit.jpg,Biz2Credit - Data Science Manager (6-10 yrs),Biz2credit Info Services,3.8,208,Noida,6-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/anlage-infotech.jpg,Data Scientist - R/Python (4-10 yrs),Anlage Infotech,3.9,157,"Bengaluru/Bangalore, Pune, Gurgaon/Gurugram",4-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/careernet-consulting.jpg,Data Scientist - BFSI (1-5 yrs),CareerNet Consulting,3.7,340,"Bengaluru/Bangalore, Kolkata",1-5 Yrs
